"","date","temperature_celsius","rainfall_mm"
"1",1991-01-01,25.1631,38.2847
"2",1991-02-01,26.0839,12.7492
"3",1991-03-01,26.2236,73.3656
"4",1991-04-01,25.5812,83.135
"5",1991-05-01,24.6618,112.275
"6",1991-06-01,23.9439,33.6106
"7",1991-07-01,22.9982,36.6575
"8",1991-08-01,23.0391,32.8066
"9",1991-09-01,23.9423,18.3184
"10",1991-10-01,25.5236,41.2266
"11",1991-11-01,24.5875,60.2294
"12",1991-12-01,24.7398,53.4232
"13",1992-01-01,24.4359,10.2491
"14",1992-02-01,26.2892,15.9125
"15",1992-03-01,26.5409,17.0754
"16",1992-04-01,26.0819,119.919
"17",1992-05-01,24.7852,80.6001
"18",1992-06-01,24.0563,30.0842
"19",1992-07-01,22.8377,35.1079
"20",1992-08-01,22.7902,28.0127
"21",1992-09-01,23.8958,24.3121
"22",1992-10-01,24.7925,47.1624
"23",1992-11-01,24.4195,106.824
"24",1992-12-01,24.4344,98.4172
"25",1993-01-01,24.2897,80.9318
"26",1993-02-01,25.0506,53.6675
"27",1993-03-01,25.7925,24.0511
"28",1993-04-01,25.9763,77.5293
"29",1993-05-01,24.9779,110.664
"30",1993-06-01,23.7715,50.2024
"31",1993-07-01,22.8375,14.9912
"32",1993-08-01,23.5543,21.9237
"33",1993-09-01,23.8431,15.6103
"34",1993-10-01,24.2092,42.0606
"35",1993-11-01,25.2338,75.1036
"36",1993-12-01,24.5048,40.1232
"37",1994-01-01,24.6522,6.64417
"38",1994-02-01,25.9058,17.6202
"39",1994-03-01,25.7528,47.8114
"40",1994-04-01,25.6103,111.038
"41",1994-05-01,24.6294,82.2793
"42",1994-06-01,23.7561,33.7607
"43",1994-07-01,22.8275,44.5223
"44",1994-08-01,23.5708,31.9213
"45",1994-09-01,24.1753,20.1774
"46",1994-10-01,25.222,69.6349
"47",1994-11-01,24.1713,168.397
"48",1994-12-01,24.3497,54.453
"49",1995-01-01,24.9216,10.5799
"50",1995-02-01,25.9945,37.3085
"51",1995-03-01,26.1929,69.4802
"52",1995-04-01,26.0064,150.358
"53",1995-05-01,24.8333,66.9476
"54",1995-06-01,24.1121,23.5026
"55",1995-07-01,23.2944,27.0207
"56",1995-08-01,23.6887,32.2454
"57",1995-09-01,24.3098,30.5747
"58",1995-10-01,25.3407,87.7315
"59",1995-11-01,25.0667,72.5827
"60",1995-12-01,25.0193,43.8125
"61",1996-01-01,25.7146,24.3053
"62",1996-02-01,26.4811,27.9605
"63",1996-03-01,26.5805,74.9097
"64",1996-04-01,25.7333,71.0857
"65",1996-05-01,24.6923,85.918
"66",1996-06-01,23.7897,50.8206
"67",1996-07-01,23.1185,33.833
"68",1996-08-01,23.2079,25.6055
"69",1996-09-01,24.014,23.9495
"70",1996-10-01,24.8826,19.2856
"71",1996-11-01,24.6425,85.853
"72",1996-12-01,24.9152,6.98666
"73",1997-01-01,25.5562,8.74094
"74",1997-02-01,25.9044,1.15765
"75",1997-03-01,26.1192,45.8383
"76",1997-04-01,25.2267,188.323
"77",1997-05-01,24.7565,63.3745
"78",1997-06-01,23.8643,46.6663
"79",1997-07-01,23.3821,29.0068
"80",1997-08-01,23.5251,28.8858
"81",1997-09-01,24.9931,7.70611
"82",1997-10-01,25.0558,179.669
"83",1997-11-01,24.4959,247.081
"84",1997-12-01,24.6103,116.062
"85",1998-01-01,25.613,76.2871
